company;rank;rank_change;revenue;profit;num. of employees;sector;city;state;newcomer;ceo_founder;ceo_woman;profitable;prev_rank;CEO;Website;Ticker;Market Cap
Edison International;243;-17.0;14905.0;759.0;13003.0;Energy;Rosemead;CA;no;no;no;yes;226.0;Pedro J. Pizarro;https://www.edisoninvestor.com;EIX;26693.8
BorgWarner;244;51.0;14838.0;537.0;49300.0;Motor Vehicles & Parts;Auburn Hills;MI;no;no;no;yes;295.0;Frederic B. Lissalde;https://www.borgwarner.com;BWA;9335
Nordstrom;245;44.0;14789.0;178.0;72000.0;Retailing;Seattle;WA;no;no;no;yes;289.0;Erik B. Nordstrom;https://www.nordstrom.com;JWN;4321.3
Loews;246;-7.0;14657.0;1578.0;10340.0;Financials;New York;NY;no;no;no;yes;239.0;James S. Tisch;https://www.loews.com;L;15971.3
Guardian Life Ins. Co. of America;247;-20.0;14647.8;288.8;9150.0;Financials;New York;NY;no;no;no;yes;227.0;Andrew J. McMahon;https://www.guardianlife.com;;
Pioneer Natural Resources;248;180.0;14643.0;2118.0;1932.0;Energy;Irving;TX;no;no;no;yes;428.0;Scott D. Sheffield;https://www.pxd.com;PXD;60728.3
AutoZone;249;-11.0;14629.6;2170.3;85050.0;Retailing;Memphis;TN;no;no;no;yes;238.0;William C. Rhodes III;https://www.autozone.com;AZO;40582.6
Lam Research;250;54.0;14626.2;3908.5;14100.0;Technology;Fremont;CA;no;no;no;yes;304.0;Timothy M. Archer;https://www.lamresearch.com;LRCX;74996.7
American Family Insurance Group;251;-19.0;14611.9;734.5;13590.0;Financials;Madison;WI;no;no;no;yes;232.0;William Westrate;https://www.amfam.com;;
Illinois Tool Works;252;-12.0;14455.0;2694.0;45000.0;Industrials;Glenview;IL;no;no;no;yes;240.0;E. Scott Santi;https://www.itw.com;ITW;65311.9
Parker-Hannifin;253;-30.0;14347.6;1746.1;54640.0;Industrials;Cleveland;OH;no;no;no;yes;223.0;Thomas L. Williams;https://www.parker.com;PH;36456.8
Otis Worldwide;254;-18.0;14298.0;1246.0;70000.0;Industrials;Farmington;CT;no;no;yes;yes;236.0;Judith F. Marks;https://www.otis.com;OTIS;32700.9
Omnicom Group;255;-26.0;14289.4;1407.8;71700.0;Business Services;New York;NY;no;no;no;yes;229.0;John D. Wren;https://www.omnicomgroup.com;OMC;17565.7
Principal Financial;256;-50.0;14262.7;1710.6;18600.0;Financials;Des Moines;IA;no;no;no;yes;206.0;Daniel J. Houston;https://www.principal.com;PFG;19176.7
Dominion Energy;257;-64.0;14218.0;3288.0;17100.0;Energy;Richmond;VA;no;no;no;yes;193.0;Robert M. Blue;https://www.dominionenergy.com;D;68883
Kellogg;258;-36.0;14181.0;1488.0;31000.0;Food, Beverages & Tobacco;Battle Creek;MI;no;no;no;yes;222.0;Steven A. Cahillane;https://www.kelloggcompany.com;K;21890.2
Fluor;259;-63.0;14156.8;-440.2;40582.0;Engineering & Construction;Irving;TX;no;no;no;no;196.0;David E. Constable;https://www.fluor.com;FLR;4051.7
AECOM;260;-71.0;14112.4;173.2;51000.0;Engineering & Construction;Dallas;TX;no;no;no;yes;189.0;W. Troy Rudd;https://www.aecom.com;ACM;10856.5
